subjectID,volume,run,volMean,volSD
101,5,cyb2,8294.839738,1243.057317
101,6,cyb2,8321.171581,1246.188703
101,7,cyb2,8288.969571,1241.513302
101,8,cyb2,8315.529138,1245.435039
101,9,cyb2,8333.83276,1247.713298
101,10,cyb2,8305.396264,1241.306338
101,11,cyb2,8301.664166,1243.884308
101,12,cyb2,8309.533531,1244.634176
101,13,cyb2,8315.076735,1245.991144
101,14,cyb2,8330.826556,1245.099496
101,15,cyb2,8277.154131,1228.452493
101,16,cyb2,8305.58541,1246.428203
101,17,cyb2,8333.55128,1250.029582
101,18,cyb2,8287.388091,1236.348761
101,19,cyb2,8327.043245,1253.560027
101,20,cyb2,8317.1955,1252.622637
101,21,cyb2,8309.720917,1242.627666
101,22,cyb2,8326.774401,1251.956657
101,23,cyb2,8304.732091,1245.448833
101,24,cyb2,8311.851895,1246.810232
101,25,cyb2,8317.318459,1249.755463
101,26,cyb2,8299.096954,1238.636185
101,27,cyb2,8321.32108,1254.628767
101,28,cyb2,8305.740938,1245.141294
101,29,cyb2,8295.218196,1244.952195
101,30,cyb2,8326.584589,1251.631149
101,31,cyb2,8294.819102,1242.799316
101,32,cyb2,8286.513527,1244.768939
101,33,cyb2,8294.922894,1235.914687
101,34,cyb2,8300.468087,1239.562753
101,35,cyb2,8288.066182,1240.741044
101,36,cyb2,8275.50842,1231.822646
101,37,cyb2,8303.964938,1239.982662
101,38,cyb2,8298.731731,1241.277309
101,39,cyb2,8328.550779,1250.389319
101,40,cyb2,8302.379956,1244.555721
101,41,cyb2,8307.585371,1245.876439
101,42,cyb2,8302.269196,1243.228756
101,43,cyb2,8284.635277,1237.347993
101,44,cyb2,8284.027376,1240.846899
101,45,cyb2,8318.041925,1252.815337
101,46,cyb2,8311.354932,1240.036694
101,47,cyb2,8306.105031,1250.949064
101,48,cyb2,8329.370661,1254.706085
101,49,cyb2,8299.759242,1243.011432
101,50,cyb2,8315.662665,1251.606266
101,51,cyb2,8321.425405,1253.781033
101,52,cyb2,8311.225831,1249.374319
101,53,cyb2,8321.502426,1256.975104
101,54,cyb2,8270.510808,1243.16626
101,55,cyb2,8292.773796,1252.244976
101,56,cyb2,8311.039091,1251.530561
101,57,cyb2,8309.408221,1245.601568
101,58,cyb2,8307.53449,1251.050397
101,59,cyb2,8286.784654,1243.006043
101,60,cyb2,8300.020519,1247.635047
101,61,cyb2,8287.307418,1247.317717
101,62,cyb2,8312.467745,1244.716965
101,63,cyb2,8324.345731,1246.355136
101,64,cyb2,8315.549279,1249.863938
101,65,cyb2,8294.363614,1243.42318
101,66,cyb2,8303.908006,1247.310478
101,67,cyb2,8300.192487,1246.327665
101,68,cyb2,8307.901986,1247.734293
101,69,cyb2,8325.640613,1253.84283
101,70,cyb2,8291.939666,1237.735048
101,1,stop3,8295.763783,1239.08941
101,2,stop3,8248.874609,1213.523383
101,3,stop3,8201.119261,1216.528906
101,4,stop3,8249.175817,1214.104945
101,5,stop3,8252.21563,1226.935291
101,6,stop3,8238.668055,1210.870676
101,7,stop3,8247.758181,1228.76511
101,8,stop3,8218.163741,1207.774307
101,9,stop3,8236.899363,1230.528779
101,10,stop3,8208.076883,1208.620117
101,11,stop3,8199.070414,1211.42799
101,12,stop3,8221.938965,1224.273421
101,13,stop3,8203.810839,1210.990846
101,14,stop3,8245.843035,1222.313745
101,15,stop3,8199.924938,1206.21435
101,16,stop3,8213.040315,1229.191515
101,17,stop3,8220.311168,1211.844874
101,18,stop3,8229.474821,1217.84701
101,19,stop3,8244.19719,1221.295684
101,20,stop3,8198.057384,1204.935781
101,21,stop3,8238.754787,1227.769793
101,22,stop3,8226.573201,1219.075501
101,23,stop3,8226.778959,1218.589528
101,24,stop3,8243.316995,1217.375755
101,25,stop3,8215.454176,1216.61025
101,26,stop3,8248.908607,1220.393392
101,27,stop3,8269.36335,1233.627784
101,28,stop3,8226.721814,1210.790801
101,29,stop3,8273.730143,1226.838275
101,30,stop3,8187.11319,1225.173782
101,31,stop3,8236.766723,1241.428236
101,32,stop3,8192.630817,1211.485638
101,33,stop3,8205.310626,1221.088758
101,34,stop3,8235.168207,1224.992449
101,35,stop3,8086.729169,1204.96505
101,36,stop3,8251.420553,1235.830798
101,37,stop3,8232.054007,1211.546041
101,38,stop3,8244.727515,1222.914378
101,39,stop3,8237.270606,1212.508577
101,40,stop3,8187.30525,1228.376833
101,41,stop3,8103.033926,1228.301988
101,42,stop3,8239.089944,1224.444308
101,43,stop3,8213.177818,1220.988684
101,44,stop3,8213.830607,1226.024349
101,45,stop3,8276.36211,1231.961482
101,46,stop3,8250.321352,1222.526425
101,47,stop3,8211.029752,1226.725491
101,48,stop3,8246.78063,1233.338785
101,49,stop3,8233.679332,1228.150558
101,50,stop3,8239.688854,1230.071806
101,51,stop3,8227.361663,1222.731336
101,52,stop3,8218.073722,1225.511872
101,53,stop3,8219.299589,1231.361724
101,54,stop3,8225.610937,1224.06661
101,55,stop3,8236.499461,1224.723812
101,56,stop3,8267.323317,1225.590626
101,57,stop3,8231.694282,1229.08601
101,58,stop3,8264.757885,1248.604437
101,59,stop3,8253.181861,1236.477554
101,60,stop3,8211.277782,1217.439403
101,61,stop3,8258.130972,1237.046705
101,62,stop3,8252.529677,1233.270571
101,63,stop3,8231.683807,1231.998564
101,64,stop3,8221.526657,1236.073222
101,65,stop3,8228.207551,1243.440547
101,66,stop3,8242.601796,1229.876906
101,67,stop3,8207.262469,1232.336233
101,68,stop3,8257.61005,1233.935897
101,69,stop3,8240.04608,1242.717009
101,70,stop3,8242.125138,1230.361056
101,71,stop3,8156.31942,1219.686099
101,72,stop3,8245.228132,1246.999418
101,73,stop3,8269.162372,1242.469173
101,74,stop3,8274.92808,1243.071655
101,75,stop3,8272.810941,1241.740695
101,76,stop3,8259.044856,1245.821527
101,77,stop3,8226.426131,1241.275941
101,78,stop3,8221.699922,1228.908391
101,79,stop3,8243.668086,1234.985588
101,80,stop3,8256.596127,1231.985678
101,1,stop4,8260.730304,1281.469267
101,2,stop4,8222.561981,1259.014669
101,3,stop4,8267.231528,1250.166619
101,4,stop4,8252.504756,1249.844054
101,5,stop4,8272.835343,1266.965867
101,6,stop4,8259.602643,1243.168314
101,7,stop4,8207.913866,1229.913226
101,8,stop4,8317.125722,1259.628019
101,9,stop4,8238.082684,1260.333644
101,10,stop4,8268.893529,1244.41565
101,11,stop4,8314.298744,1263.74194
101,12,stop4,8303.3749,1258.138843
101,13,stop4,8280.38426,1260.937494
101,14,stop4,8283.951026,1245.816567
101,15,stop4,8249.080878,1248.23883
101,16,stop4,8270.317623,1246.537374
101,17,stop4,8301.86871,1256.26547
101,18,stop4,8292.889921,1256.399253
101,19,stop4,8290.529567,1251.171945
101,20,stop4,8250.038723,1259.302031
101,21,stop4,8286.610166,1260.929675
101,22,stop4,8287.22501,1249.502452
101,23,stop4,8314.495978,1261.087331
101,24,stop4,8274.29774,1251.867739
101,25,stop4,8292.386976,1259.432414
101,26,stop4,8290.251559,1264.085502
101,27,stop4,8260.528559,1246.146595
101,28,stop4,8303.227976,1264.69052
101,29,stop4,8269.635018,1252.210438
101,30,stop4,8291.711855,1259.280797
101,31,stop4,8309.059245,1262.232042
101,32,stop4,8255.405115,1240.312475
101,33,stop4,8259.136276,1256.293086
101,34,stop4,8280.563671,1255.234519
101,35,stop4,8266.699923,1242.125563
101,36,stop4,8277.221035,1246.022061
101,37,stop4,8293.365139,1254.181489
101,38,stop4,8311.918529,1257.959437
101,39,stop4,8257.035203,1254.604349
101,40,stop4,8294.931344,1260.342816
101,41,stop4,8281.152397,1255.711043
101,42,stop4,8095.217801,1235.322633
101,43,stop4,8325.465645,1269.622295
101,44,stop4,8270.668521,1244.356179
101,45,stop4,8277.583808,1260.187253
101,46,stop4,8270.847819,1254.772955
101,47,stop4,8309.111126,1258.295055
101,48,stop4,8262.675942,1253.448658
101,49,stop4,8272.297652,1263.837641
101,50,stop4,8286.061857,1258.552469
101,51,stop4,8301.036563,1255.881135
101,52,stop4,8302.378078,1254.235802
101,53,stop4,8303.829075,1268.02319
101,54,stop4,8262.968755,1252.626831
101,55,stop4,8293.253323,1259.99007
101,56,stop4,8275.015888,1248.498471
101,57,stop4,8306.367005,1266.527962
101,58,stop4,8285.655309,1253.73482
101,59,stop4,8284.691375,1250.153528
101,60,stop4,8234.243766,1251.474144
101,61,stop4,8301.217875,1266.982165
101,62,stop4,8266.896242,1257.544312
101,63,stop4,8297.40624,1261.267162
101,64,stop4,8285.066252,1262.05698
101,65,stop4,8260.88001,1254.840134
101,66,stop4,8278.212796,1253.934262
101,67,stop4,8288.753186,1264.031244
101,68,stop4,8303.659229,1265.401776
101,69,stop4,8250.678254,1242.526671
101,70,stop4,8277.332654,1272.408519
101,71,stop4,8335.681443,1273.910368
101,72,stop4,8290.890449,1258.338339
101,73,stop4,8301.662907,1261.227181
101,74,stop4,8305.482233,1265.093858
101,75,stop4,8305.175405,1263.192897
